"GEO_ID","NAME","B27001_001E","B27001_001M","B27001_002E","B27001_002M","B27001_003E","B27001_003M","B27001_004E","B27001_004M","B27001_005E","B27001_005M","B27001_006E","B27001_006M","B27001_007E","B27001_007M","B27001_008E","B27001_008M","B27001_009E","B27001_009M","B27001_010E","B27001_010M","B27001_011E","B27001_011M","B27001_012E","B27001_012M","B27001_013E","B27001_013M","B27001_014E","B27001_014M","B27001_015E","B27001_015M","B27001_016E","B27001_016M","B27001_017E","B27001_017M","B27001_018E","B27001_018M","B27001_019E","B27001_019M","B27001_020E","B27001_020M","B27001_021E","B27001_021M","B27001_022E","B27001_022M","B27001_023E","B27001_023M","B27001_024E","B27001_024M","B27001_025E","B27001_025M","B27001_026E","B27001_026M","B27001_027E","B27001_027M","B27001_028E","B27001_028M","B27001_029E","B27001_029M","B27001_030E","B27001_030M","B27001_031E","B27001_031M","B27001_032E","B27001_032M","B27001_033E","B27001_033M","B27001_034E","B27001_034M","B27001_035E","B27001_035M","B27001_036E","B27001_036M","B27001_037E","B27001_037M","B27001_038E","B27001_038M","B27001_039E","B27001_039M","B27001_040E","B27001_040M","B27001_041E","B27001_041M","B27001_042E","B27001_042M","B27001_043E","B27001_043M","B27001_044E","B27001_044M","B27001_045E","B27001_045M","B27001_046E","B27001_046M","B27001_047E","B27001_047M","B27001_048E","B27001_048M","B27001_049E","B27001_049M","B27001_050E","B27001_050M","B27001_051E","B27001_051M","B27001_052E","B27001_052M","B27001_053E","B27001_053M","B27001_054E","B27001_054M","B27001_055E","B27001_055M","B27001_056E","B27001_056M","B27001_057E","B27001_057M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 6 years:","Margin of Error!!Total:!!Male:!!Under 6 years:","Estimate!!Total:!!Male:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!6 to 18 years:","Margin of Error!!Total:!!Male:!!6 to 18 years:","Estimate!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!19 to 25 years:","Margin of Error!!Total:!!Male:!!19 to 25 years:","Estimate!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!26 to 34 years:","Margin of Error!!Total:!!Male:!!26 to 34 years:","Estimate!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!35 to 44 years:","Margin of Error!!Total:!!Male:!!35 to 44 years:","Estimate!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!45 to 54 years:","Margin of Error!!Total:!!Male:!!45 to 54 years:","Estimate!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!55 to 64 years:","Margin of Error!!Total:!!Male:!!55 to 64 years:","Estimate!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!65 to 74 years:","Margin of Error!!Total:!!Male:!!65 to 74 years:","Estimate!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!Male:!!75 years and over:","Margin of Error!!Total:!!Male:!!75 years and over:","Estimate!!Total:!!Male:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!Male:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!No health insurance coverage","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 6 years:","Margin of Error!!Total:!!Female:!!Under 6 years:","Estimate!!Total:!!Female:!!Under 6 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!Under 6 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!6 to 18 years:","Margin of Error!!Total:!!Female:!!6 to 18 years:","Estimate!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!19 to 25 years:","Margin of Error!!Total:!!Female:!!19 to 25 years:","Estimate!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!26 to 34 years:","Margin of Error!!Total:!!Female:!!26 to 34 years:","Estimate!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!35 to 44 years:","Margin of Error!!Total:!!Female:!!35 to 44 years:","Estimate!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!45 to 54 years:","Margin of Error!!Total:!!Female:!!45 to 54 years:","Estimate!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!55 to 64 years:","Margin of Error!!Total:!!Female:!!55 to 64 years:","Estimate!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!65 to 74 years:","Margin of Error!!Total:!!Female:!!65 to 74 years:","Estimate!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage","Estimate!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage","Estimate!!Total:!!Female:!!75 years and over:","Margin of Error!!Total:!!Female:!!75 years and over:","Estimate!!Total:!!Female:!!75 years and over:!!With health insurance coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!With health insurance coverage","Estimate!!Total:!!Female:!!75 years and over:!!No health insurance coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","250117","696","121974","1025","8467","1249","8467","1249","0","210","20973","1470","19737","1407","1236","856","9050","1443","7961","1608","1089","798","10239","950","8000","1102","2239","1087","14885","1381","11009","1100","3876","1617","16043","1513","14127","1619","1916","900","16873","898","16323","910","550","331","15035","581","14941","577","94","122","10409","485","10409","485","0","210","128143","854","6838","981","6838","981","0","210","19271","875","18308","1223","963","862","7219","1132","6469","1307","750","740","13721","1003","12440","1198","1281","749","16128","803","15316","859","812","465","16568","896","15277","964","1291","703","18068","825","17128","921","940","643","18203","995","18203","995","0","210","12127","633","12077","634","50","86",
"0500000US01015","Calhoun County, Alabama","114027","270","54337","738","3858","538","3858","538","0","210","9668","879","9576","814","92","130","6259","804","4962","881","1297","681","5397","733","4057","678","1340","665","5903","934","4630","1069","1273","673","7535","935","6094","1017","1441","929","6678","340","6272","450","406","319","6027","418","6027","418","0","210","3012","245","3012","245","0","210","59690","711","3653","550","3653","550","0","210","9182","807","9160","813","22","41","6392","1023","4889","1098","1503","814","6145","992","5340","1098","805","511","7398","723","6933","837","465","329","7037","738","5994","833","1043","592","7272","209","6895","295","377","243","7407","449","7322","453","85","153","5204","185","5204","185","0","210",
"0500000US01043","Cullman County, Alabama","91144","35","44695","669","2743","254","2743","254","0","210","7989","926","7649","1032","340","345","3211","888","2357","757","854","570","5404","586","4048","690","1356","513","5630","381","4172","868","1458","797","5777","286","5022","557","755","492","5785","87","5515","300","270","292","4951","143","4951","143","0","210","3205","79","3205","79","0","210","46449","674","3495","1119","3495","1119","0","210","7163","755","6876","760","287","268","3967","748","3510","859","457","453","5441","445","4679","544","762","453","5284","207","3895","556","1389","532","5631","317","4428","692","1203","652","5890","209","5397","420","493","343","5305","127","5305","127","0","210","4273","222","4273","222","0","210",
"0500000US01049","DeKalb County, Alabama","71798","26","36015","534","3152","612","3121","615","31","57","6975","965","6975","965","0","210","3292","828","1834","648","1458","707","3539","565","2354","746","1185","562","4676","360","2976","473","1700","552","4224","347","3610","404","614","299","4434","279","3793","473","641","377","3779","228","3706","229","73","122","1944","145","1944","145","0","210","35783","541","1628","233","1565","253","63","111","7010","764","6877","795","133","165","3345","703","2765","651","580","380","3572","596","2746","599","826","469","4076","341","3107","426","969","452","4668","418","3692","459","976","455","4842","282","4232","426","610","394","3895","198","3797","165","98","139","2747","215","2747","215","0","210",
"0500000US01051","Elmore County, Alabama","85557","667","40770","566","3608","883","3608","883","0","210","7136","1142","6674","1009","462","433","3788","689","3164","835","624","405","4690","805","3640","831","1050","594","5283","701","4527","698","756","574","4616","533","4096","627","520","422","4964","541","4734","607","230","263","4154","224","4154","224","0","210","2531","256","2531","256","0","210","44787","790","2515","477","2457","490","58","100","7389","715","7060","740","329","349","2585","751","1969","692","616","516","5777","750","5408","788","369","322","6049","205","5591","351","458","383","5879","79","5108","499","771","492","6264","181","5992","281","272","237","4954","267","4954","267","0","210","3375","344","3375","344","0","210",
"0500000US01055","Etowah County, Alabama","101906","94","47728","672","3653","586","3482","595","171","227","6849","633","6610","687","239","231","3871","665","3359","659","512","287","5699","775","4717","918","982","644","5956","649","3988","781","1968","713","6477","709","5701","760","776","493","6229","438","5838","554","391","281","5706","536","5635","521","71","129","3288","250","3288","250","0","210","54178","669","3738","758","3685","758","53","94","9186","677","8490","710","696","519","3951","723","3718","713","233","216","6503","706","4760","819","1743","792","6615","738","4957","831","1658","661","6229","354","5249","340","980","487","6946","169","6314","364","632","351","6509","373","6509","373","0","210","4501","368","4501","368","0","210",
"0500000US01069","Houston County, Alabama","107165","316","51406","354","4027","316","3959","326","68","94","9335","514","8795","565","540","355","4207","376","3426","386","781","288","5660","398","4229","484","1431","411","6195","151","4943","552","1252","552","6216","251","5357","301","859","321","6792","166","6072","333","720","264","5520","145","5520","145","0","210","3454","76","3454","76","0","210","55759","266","3676","270","3663","268","13","22","8824","302","8172","482","652","368","4293","374","3132","474","1161","453","6433","324","5488","420","945","360","6967","149","5903","327","1064","321","7167","181","6479","311","688","271","7396","119","6881","182","515","175","6347","121","6347","121","0","210","4656","131","4646","131","10","18",
"0500000US01073","Jefferson County, Alabama","655222","573","309459","606","24725","1486","23692","1681","1033","665","55122","1572","52024","1795","3098","1302","28969","1205","24395","1438","4574","1378","40167","958","31606","2029","8561","1925","40658","534","34506","1334","6152","1334","36607","576","30817","1353","5790","1140","36069","645","31351","1460","4718","1363","29935","415","29708","351","227","287","17207","410","17207","410","0","210","345763","526","23158","1175","22174","1114","984","657","55663","1520","52223","1877","3440","1311","32915","1834","28400","2312","4515","1291","42704","1405","38220","1819","4484","1322","45603","452","39616","1366","5987","1297","40936","521","36591","1089","4345","1054","41445","591","38365","1165","3080","1115","37423","338","37049","410","374","240","25916","741","25841","742","75","94",
"0500000US01077","Lauderdale County, Alabama","95862","108","45549","719","2447","411","2299","472","148","179","7419","781","7234","810","185","200","5818","799","5305","938","513","460","4450","644","3474","704","976","645","4749","347","4158","349","591","426","5968","368","5435","497","533","308","5680","288","5382","353","298","197","5631","311","5631","311","0","210","3387","124","3335","163","52","84","50313","713","3018","521","3018","521","0","210","7163","812","7003","884","160","238","6558","794","5484","837","1074","671","4939","628","4568","584","371","301","5735","625","5030","628","705","402","5775","511","5103","671","672","427","6380","268","5898","446","482","358","5945","354","5945","354","0","210","4800","214","4800","214","0","210",
